repo_name,personal pronouns,impersonal pronouns,articles,prepositions,auxiliary verbs,common adverbs,conjuncations,negations,analytic thinking,clout,authentic,tone,composite
AdGuardHome,0.920349784,0.737273516,0.927031583,0.942965445,0.831623601,0.829477229,0.964500615,0.940757091,0.941682079,0.952700325,0.98965034,0.894551576,0.906046932
Aerial,0.822584398,0.78617502,0.849737648,0.884890506,0.859604383,0.815652005,0.880693364,0.894725665,0.947452686,0.899539191,0.936809203,0.908689154,0.873879435
aframe,0.900676315,0.98362589,0.991527901,0.981751838,0.931027902,0.999470131,0.98716374,0.963790449,0.978717866,0.982067622,0.997294454,0.977639146,0.972896105
Alamofire,0.914744595,0.825052946,0.802724288,0.794529718,0.911907672,0.853561416,0.893926406,0.917843755,0.912210213,0.9134167,0.903146291,0.955746339,0.883234195
Arduino,0.913355007,0.791564839,0.807846212,0.864159774,0.792512184,0.894550271,0.919205057,0.984092921,0.87700413,0.920719222,0.992207125,0.87930459,0.886376778
backup,0.891889025,0.776701176,0.838657404,0.884515298,0.876895179,0.755300309,0.825333683,0.947233171,0.900267435,0.938805876,0.915280397,0.864119686,0.867916553
blackfriday,0.748161188,0.96357003,0.954146136,0.907315846,0.899578169,0.878992968,0.947077181,0.770064755,0.985465418,0.950088044,0.873570047,0.936350328,0.901198342
bootstrap-sass,0.870745222,0.807432389,0.838498582,0.833316711,0.74180474,0.775999979,0.825350553,0.859666214,0.89570247,0.921964972,0.941460863,0.847079899,0.846585216
bootstrap-select,0.881077979,0.964402875,0.943091856,0.90432676,0.912808977,0.929225127,0.995130774,0.946915345,0.988563225,0.989781526,0.993291822,0.995208231,0.953652041
boto3,0.713739464,0.563178989,0.616448763,0.68846252,0.548503666,0.670023304,0.695330069,0.880552999,0.79609864,0.7580839,0.889182781,0.766953959,0.715546588
brotli,0.913168476,0.971405222,0.836733262,0.922151623,0.840380695,0.930097781,0.970070048,0.878701096,0.987656289,0.975098108,0.986340111,0.951184548,0.930248938
c3,0.854173547,0.879769185,0.892727246,0.97275285,0.990711751,0.989919846,0.975926735,0.924700265,0.978947193,0.978493007,0.993665,0.992170456,0.951996424
Cachet,0.785076482,0.625225812,0.746649701,0.751833752,0.700040318,0.689153468,0.794397728,0.387670545,0.955128097,0.897119436,0.961223099,0.95116818,0.770390552
cadence,0.991859739,0.744501084,0.719545729,0.950841852,0.706284221,0.975326733,0.991354249,0.677375276,0.903793859,0.837583441,0.94319102,0.899923946,0.861798429
capstone,0.545758308,0.586683525,0.76536354,0.695501379,0.62682515,0.538089535,0.718641101,0.716856352,0.685884462,0.695694891,0.635471405,0.625683262,0.653037742
carrierwave,0.951838642,0.822321663,0.883770299,0.945080818,0.931700422,0.859945272,0.892029863,0.861567297,0.8941473,0.945477755,0.966132694,0.898287287,0.904358276
casperjs,0.91216917,0.971745009,0.995874309,0.979540517,0.964912917,0.865080339,0.957715592,0.950898736,0.95308444,0.959500189,0.909795473,0.928419992,0.945728057
certbot,0.79741178,0.675883336,0.756551242,0.811881344,0.764812669,0.751325073,0.759720068,0.956627941,0.852275106,0.927388365,0.892617152,0.868993121,0.817957267
ChatterBot,0.988002883,0.767697931,0.778006139,0.868880721,0.744646128,0.917004175,0.972645606,0.96696912,0.872473781,0.942628065,0.929407613,0.866847267,0.884600786
ChezScheme,0.979275438,0.894969938,0.895515486,0.913347202,0.897431106,0.926558187,0.931354655,0.99277717,0.955900711,0.965922379,0.938626293,0.97126846,0.938578919
classicswarm,0.743851719,0.799283231,0.759375711,0.78910582,0.763048224,0.846538703,0.810371701,0.862060641,0.850671966,0.825654218,0.887740063,0.810863982,0.812380498
cleverhans,0.497514737,0.474139223,0.481521155,0.676790296,0.524710619,0.498136617,0.550065961,0.729117762,0.637583507,0.700197894,0.633891154,0.566417521,0.580840537
clip,0.889746322,0.911011496,0.723834035,0.924730577,0.820440702,0.822425324,0.794717371,0.898801523,0.828275091,0.924775754,0.951165065,0.859713117,0.862469698
codecombat,0.901273346,0.942624775,0.989316933,0.998252181,0.985561569,0.937083808,0.969916343,0.931835909,0.989961709,0.950591668,0.932794767,0.995654256,0.960405605
CodeMirror,0.984057206,0.953244371,0.989073933,0.953858313,0.925084518,0.970872802,0.957703584,0.973098808,0.976874941,0.984475375,0.999856114,0.964642783,0.969403562
create-react-app,0.909871861,0.867174973,0.730261958,0.943322647,0.816697945,0.735717554,0.930781039,0.989262426,0.891463042,0.98032215,0.988459839,0.865193964,0.88737745
cutter,0.977810281,0.935144057,0.998732128,0.936688947,0.879696733,0.937302502,0.937884432,0.974953424,0.977386639,0.96765472,0.989685219,0.965703682,0.956553564
dehydrated,0.820036215,0.596499346,0.85884932,0.817327436,0.739910256,0.634759259,0.807541139,0.915739003,0.86640207,0.958457704,0.826069723,0.870680564,0.809356003
deployer,0.737677271,0.780441064,0.711529143,0.949554061,0.855518162,0.874978091,0.976586339,0.974172068,0.909899313,0.96423062,0.872152591,0.996663593,0.88361686
dirsearch,0.86950715,0.486897946,0.581161343,0.903484642,0.739240924,0.613233847,0.640770363,0.980271155,0.72860876,0.849900725,0.927712345,0.779884236,0.758389453
docsify,0.880175725,0.895061189,0.95637934,0.988777126,0.928616095,0.94049518,0.977005115,0.99754084,0.958901649,0.970665653,0.951950718,0.983543495,0.95242601
downshift,0.885487349,0.862540465,0.995895503,0.980889029,0.880489512,0.845128659,0.959834684,0.877832348,0.986730716,0.998194429,0.968612372,0.870483552,0.926009885
excelize,0.72312138,0.797538572,0.802586238,0.755645962,0.759887268,0.926001129,0.741248478,0.88025734,0.807446972,0.863938232,0.92099907,0.770494207,0.812430404
faker,0.651466287,0.537256071,0.621935079,0.717727664,0.524098456,0.710312976,0.807927102,0.872232391,0.82370754,0.714532127,0.868474131,0.827519575,0.723099117
fastai,0.730022208,0.561197416,0.650470685,0.782344232,0.643452128,0.691665609,0.761765614,0.859976421,0.82347134,0.848251247,0.901998104,0.749762026,0.750364753
filebrowser,0.931220106,0.804679479,0.902457051,0.956589236,0.896926284,0.92729054,0.919698879,0.844534735,0.94031218,0.975457259,0.98868036,0.91602032,0.916988869
firecracker,0.981999781,0.930018024,0.967827492,0.975853191,0.943891238,0.953111101,0.93376629,0.961052256,0.971659895,0.968519796,0.97049356,0.96473466,0.96024394
FlameGraph,0.819576794,0.862219414,0.967262306,0.978979151,0.877727386,0.953584121,0.862219414,0.658476694,0.910824958,0.997614404,0.949326758,0.873606526,0.892618161
flexboxfroggy,0.94931097,0.979465144,0.910949922,0.90880844,0.969468927,0.991584951,0.920535165,0.89987379,0.921717445,0.935604395,0.828615901,0.925580974,0.928459669
fluentd,0.849123389,0.862923908,0.969552589,0.96535186,0.813296219,0.826495974,0.812999529,0.919502114,0.828010594,0.880883744,0.91473369,0.832438381,0.872942666
flux,0.855674327,0.876642763,0.923840769,0.905951283,0.883900026,0.84579837,0.911012083,0.948146738,0.921129487,0.938083802,0.95650206,0.911681903,0.906530301
fn,0.989167075,0.975423341,0.933131291,0.973891815,0.973362408,0.941527471,0.984080817,0.980345663,0.971782772,0.979046712,0.988089991,0.994645589,0.973707912
formtastic,0.826628044,0.790196657,0.859546736,0.904363118,0.865856237,0.82201158,0.822301384,0.946617727,0.91975797,0.965958012,0.909091751,0.907736408,0.878338802
framework7,0.768263872,0.812793152,0.56289771,0.931721085,0.867158597,0.933288248,0.997557398,0.99551357,0.862650931,0.934314017,0.904449072,0.932998534,0.875300515
frp,0.753179643,0.890650169,0.826488914,0.95081089,0.975341035,0.812448449,0.9573975,0.686615902,0.798928891,0.815587359,0.918943635,0.854658022,0.853420867
ggplot2,0.928547043,0.856392493,0.941062324,0.922303164,0.958671652,0.924826998,0.942415043,0.876222485,0.949638314,0.956878669,0.957698865,0.936774315,0.929285947
git-lfs,0.880550778,0.744997253,0.812155182,0.822923616,0.842182367,0.964305919,0.863888161,0.976830925,0.885521692,0.978161238,0.936542187,0.875185867,0.881937099
