repo_name,NewC,NewB,BCT,BFR,personal-pronouns,impersonal-pronouns,articles,prepositions,auxiliary-verbs,common-adverbs,conjunctions,negations,analytic-thinking,clout,authentic,tone,compose,CPP,Ruby,Python,Go,C,Java,JavaScript-like,System,CN,SP,DEV,AI,DS,GE,Mobile,ratio,size,experience,sponsor
AdGuardHome,33.02777778,5.194444444,31703.2557,1.087776077,0.920349784,0.737273516,0.927031583,0.942965445,0.831623601,0.829477229,0.964500615,0.940757091,0.941682079,0.952700325,0.98965034,0.894551576,0.906046932,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.473684211,19,2905.05,1
Aerial,4.722222222,2.027777778,18895.9662,0.703703704,0.822584398,0.78617502,0.849737648,0.884890506,0.859604383,0.815652005,0.880693364,0.894725665,0.947452686,0.899539191,0.936809203,0.908689154,0.873879435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,20,3481.45,0
aframe,129.3888889,11.38888889,25637.12049,0.853247667,0.900676315,0.98362589,0.991527901,0.981751838,0.931027902,0.999470131,0.98716374,0.963790449,0.978717866,0.982067622,0.997294454,0.977639146,0.972896105,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.020242915,247,3379.91,1
Alamofire,33.08333333,10.22222222,31819.8687,0.973769433,0.914744595,0.825052946,0.802724288,0.794529718,0.911907672,0.853561416,0.893926406,0.917843755,0.912210213,0.9134167,0.903146291,0.955746339,0.883234195,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.037878788,132,3601.16,1
Arduino,68.38888889,13.30555556,31120.4078,0.551699581,0.913355007,0.791564839,0.807846212,0.864159774,0.792512184,0.894550271,0.919205057,0.984092921,0.87700413,0.920719222,0.992207125,0.87930459,0.886376778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012931034,232,3275.87,1
backup,23.61111111,1.083333333,17093.64815,0.511574074,0.891889025,0.776701176,0.838657404,0.884515298,0.876895179,0.755300309,0.825333683,0.947233171,0.900267435,0.938805876,0.915280397,0.864119686,0.867916553,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0625,32,4653.81,0
blackfriday,7.972222222,0.194444444,4653.222222,0.069444444,0.748161188,0.96357003,0.954146136,0.907315846,0.899578169,0.878992968,0.947077181,0.770064755,0.985465418,0.950088044,0.873570047,0.936350328,0.901198342,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.136363636,22,4222.73,0
bootstrap-select,24.58333333,3.527777778,31019.31103,0.901873898,0.870745222,0.807432389,0.838498582,0.833316711,0.74180474,0.775999979,0.825350553,0.859666214,0.89570247,0.921964972,0.941460863,0.847079899,0.846585216,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.065789474,76,4297.36,1
bootstrap,248.3333333,30.88888889,25989.87846,0.891368978,0.881077979,0.964402875,0.943091856,0.90432676,0.912808977,0.929225127,0.995130774,0.946915345,0.988563225,0.989781526,0.993291822,0.995208231,0.953652041,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.060240964,83,3748.06,1
boto3,27.02777778,5.361111111,33592.19384,1.160234904,0.713739464,0.563178989,0.616448763,0.68846252,0.548503666,0.670023304,0.695330069,0.880552999,0.79609864,0.7580839,0.889182781,0.766953959,0.715546588,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.145454545,55,3830.91,1
